type,name,label,required,appearance,$given_name,relevant,choice_filter,constraint_message,constraint_message::English,constraint,calculation
calculate,calc_toothpaste,,,,,,,,,,"round(if((selected(${quantity_2pcs_toothpaste},'yes')), (${price_toothpaste} div 2), ${price_toothpaste}),0)"
calculate,calc_price_toothpaste,,,,,,,,,,"round(if((selected(${quantity_2pcs_toothpaste},'no')), (${price_toothpaste} div ${quantity_other_toothpaste}), ${price_toothpaste}),0)"
note,price_toothpaste_normalised,The price of one piece of toothpaste is: ${calc_price_toothpaste} YER,,,,"selected(${quantity_2pcs_toothpaste},""no"")",,,,,
note,price_toothpaste_display,The price of one piece of toothpaste is: ${calc_toothpaste} YER,,,,"selected(${quantity_2pcs_toothpaste},""yes"")",,,,,
end_group,toothpaste_price_information,,,,,,,,,,
begin_group,supply_information,Oral hygiene Items Supply Information,,,,"selected(${sell_oral_hygiene},'yes')",,,,,
text,drc_supplier_location,8.1 In what governorate is the oral hygiene items supplier of this product located?,,,,,,,,,
select_one supplier,drc_supplier ,8.2 what is the type of the market,,,,,,,,,
text,drc_supplying_time,"8.3 Last time you restocked this product, how many days did it take for you to receive the goods after placing an order with your supplier? (in days)",,,,,,,,,
select_multiple challenges,drc_hygiene_constraints_multiple,8.4 What are the largest constraints faced by the vendor,TRUE,,,,,"Cannot select ""Do Not Know"" or "" No Constraints"" or ""Vendor Did Not Answers"" and additional options - Invalid Response",,"not((selected(.,'Do_not_know') or selected(.,'No_constraints') or selected(.,'Vendor_did_not_answer')) and count-selected(.)>1)",
end_group,supply_information,,,,,,,,,,
end_group,miscellaneous_items,,,,,,,,,,
begin_group,care,,,,,"selected(${select_one_organisation_name},'CARE')",,,,,
text,care_pass_care,Please Enter the Password:,TRUE,,,"selected(${select_one_organisation_name},'CARE')",,,,,
note,password_incorrect,Password incorrect,TRUE,,,"${pass_CARE} !=""CAREtest""",,,,"not(.=${pass_CARE}=""CAREtest"")",
end_group,care,,,,,,,,,,
begin_group,foodcare,Food prices,TRUE,,,"${pass_CARE}=""CAREtest""",,,,,
select_one yes_no,care_foodcare_info,Are you collecting food information?,TRUE,,,,,,,,
select_multiple cash,care_cash_feasibility_foodcare,Which forms of payment does this vendor currently accept? (tick all that apply),TRUE,,,"selected(${foodcare_info},'yes')",,"Cannot select ""Do Not Know"" and additional options - Invalid Response",,"not(selected(.,'Do_not_know') and count-selected(.)>1)",
text,care_other_cash_feasibility_foodcare,Please specify other:,TRUE,,,"selected(${cash_feasibility_foodcare},""Other"")",,,,,
begin_group,vegetable oil,Vegetable oil,,,,"selected(${foodcare_info},'yes')",,,,,
select_one yes_no,care_sell_vegetable_oil,2.1 Do the vendor KI currently sell vegetable oil in his shop?,,,,,,,,,
end_group,vegetable_oil,,,,,,,,,,
begin_group,vegetable_price_oil_information,vegetable oil price information,,,,"selected(${sell_vegetable_oil},'yes')",,,,,
select_one yes_no,care_quantity_1liter_vegetable_oil,2.2 Are you collecting the price oil for 10 Kg? ,TRUE,,,,,,,,
integer,care_quantity_other_vegetable_oil,"2.3 If no, what quantity is this product sold in ? (in Kg)",TRUE,,,"selected(${quantity_1liter_vegetable_oil},""no"")",,Value must be greater than 0,,.>0,
integer,care_price_vegetable_oil,2.4 Write the price oil for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
calculate,calc_vegetable_oil,,,,,,,,,,"round(if((selected(${quantity_1liter_vegetable_oil},'yes')), (${price_vegetable_oil} div 10), ${price_vegetable_oil}),0)"
calculate,calc_price_vegetable_oil,,,,,,,,,,"round(if((selected(${quantity_1liter_vegetable_oil},'no')), (${price_vegetable_oil} div ${quantity_other_vegetable_oil}), ${price_vegetable_oil}),0)"
note,price_vegetable_oil_normalised,The price of one kilogram of vegetable_oil is: ${calc_price_vegetable_oil} YER,,,,"selected(${quantity_1liter_vegetable_oil},""no"")",,,,,
note,price_vegetable_oil_display,The priceof one kilogram of vegetable_oil is: ${calc_vegetable_oil} YER,,,,"selected(${quantity_1liter_vegetable_oil},""yes"")",,,,,
end_group,foodcare_vegetable_oil_information,,,,,,,,,,
begin_group,rice,Rice,,,,"selected(${foodcare_info},'yes')",,,,,
select_one yes_no,care_sell_rice,3.1 Do the vendor KI currently sell rice in his shop?,,,,,,,,,
end_group,rice,,,,,,,,,,
begin_group,rice_price_information,Rice price information,,,,"selected(${sell_rice},'yes')",,,,,
select_one yes_no,care_quantity_1kg_rice,3.2 Are you collecting the price for 1 Kg? ,TRUE,,,,,,,,
integer,care_quantity_other_rice,"3.3 If no, what quantity is this product sold in ? (in Kg)",TRUE,,,"selected(${quantity_1kg_rice},""no"")",,Value must be greater than 0,,.>0,
integer,care_price_rice,3.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
calculate,calc_rice,,,,,,,,,,"round(if((selected(${quantity_1kg_rice},'yes')), (${price_rice} div 1), ${price_rice}),0)"
calculate,calc_price_rice,,,,,,,,,,"round(if((selected(${quantity_1kg_rice},'no')), (${price_rice} div ${quantity_other_rice}), ${price_rice}),0)"
note,price_rice_normalised,The price of one kilogram of rice is: ${calc_price_rice} YER,,,,"selected(${quantity_1kg_rice},""no"")",,,,,
note,price_rice_display,The price of one kilogram of rice is: ${calc_rice} YER,,,,"selected(${quantity_1kg_rice},""yes"")",,,,,
end_group,foodcare_rice_information,,,,,,,,,,
begin_group,suger,Suger,,,,"selected(${foodcare_info},'yes')",,,,,
select_one yes_no,care_sell_suger,6.1 Do the vendor KI currently sell suger in his shop?,,,,,,,,,
end_group,suger,,,,,,,,,,
begin_group,suger_price_information,Suger price information,,,,"selected(${sell_suger},'yes')",,,,,
select_one yes_no,care_quantity_1kg_suger,6.2 Are you collecting the price for 1 Kg? ,TRUE,,,,,,,,
integer,care_quantity_other_suger,"6.3 If no, what quantity is this product sold in ? (in Kg)",TRUE,,,"selected(${quantity_1kg_suger},""no"")",,Value must be greater than 0,,.>0,
integer,care_price_suger,6.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
calculate,calc_suger,,,,,,,,,,"round(if((selected(${quantity_1kg_suger},'yes')), (${price_suger} div 1), ${price_suger}),0)"
calculate,calc_price_suger,,,,,,,,,,"round(if((selected(${quantity_1kg_suger},'no')), (${price_suger} div ${quantity_other_suger}), ${price_suger}),0)"
note,price_suger_normalised,The price of one kilogram of suger is: ${calc_price_suger} YER,,,,"selected(${quantity_1kg_suger},""no"")",,,,,
note,price_suger_display,The price of one kilogram of suger is: ${calc_suger} YER,,,,"selected(${quantity_1kg_suger},""yes"")",,,,,
end_group,foodcare_suger_information,,,,,,,,,,
begin_group,wheat,Wheat,,,,"selected(${foodcare_info},'yes')",,,,,
select_one yes_no,care_sell_wheat,5.1 Do the vendor KI currently sell wheat in his shop?,,,,,,,,,
end_group,wheat,,,,,,,,,,
begin_group,wheat_price_information,Wheat flour price information,,,,"selected(${sell_wheat},'yes')",,,,,
select_one yes_no,care_quantity_1kg_wheat,5.2 Are you collecting the price for 1 Kg? ,TRUE,,,,,,,,
integer,care_quantity_other_wheat,"5.3 If no, what quantity is this product sold in ? (in Kg)",TRUE,,,"selected(${quantity_1kg_wheat},""no"")",,Value must be greater than 0,,.>0,
integer,care_price_wheat,5.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
calculate,calc_wheat,,,,,,,,,,"round(if((selected(${quantity_1kg_wheat},'yes')), (${price_wheat} div 1), ${price_wheat}),0)"
calculate,calc_price_wheat,,,,,,,,,,"round(if((selected(${quantity_1kg_wheat},'no')), (${price_wheat} div ${quantity_other_wheat}), ${price_wheat}),0)"
note,price_wheat_normalised,The price of one kilogram of wheat is: ${calc_price_wheat} YER,,,,"selected(${quantity_1kg_wheat},""no"")",,,,,
note,price_wheat_display,The price of one kilogram of wheat is: ${calc_wheat} YER,,,,"selected(${quantity_1kg_wheat},""yes"")",,,,,
end_group,foodcare_wheat_information,,,,,,,,,,
begin_group,beans,Beans,,,,"selected(${foodcare_info},'yes')",,,,,
select_one yes_no,care_sell_beans,6.1 Do the vendor KI currently sell beansin his shop?,,,,,,,,,
end_group,beans,,,,,,,,,,
begin_group,beans_price_information,Red beans price information,,,,"selected(${sell_beans},'yes')",,,,,
select_one yes_no,care_quantity_1can_beans,6.2 Are you collecting the price for 1 Kg? ,TRUE,,,,,,,,
integer,care_quantity_other_beans,"6.3 If no, what quantity is this product sold in ? (in Kg)",TRUE,,,"selected(${quantity_1can_beans},""no"")",,Value must be greater than 0,,.>0,
integer,care_price_beans,6.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
calculate,calc_beans,,,,,,,,,,"round(if((selected(${quantity_1can_beans},'yes')), (${price_beans} div 1), ${price_beans}),0)"
calculate,calc_price_beans,,,,,,,,,,"round(if((selected(${quantity_1can_beans},'no')), (${price_beans} div ${quantity_other_beans}), ${price_beans}),0)"
note,price_beans_normalised,The price of one can of beansis: ${calc_price_beans} YER,,,,"selected(${quantity_1can_beans},""no"")",,,,,
note,price_beans_display,The price of one can of beansis: ${calc_beans} YER,,,,"selected(${quantity_1can_beans},""yes"")",,,,,
end_group,foodcare_beans_information,,,,,,,,,,
begin_group,onion,Onion,,,,"selected(${foodcare_info},'yes')",,,,,
select_one yes_no,sell_onion,7.1 Do the vendor KI currently sell onion in his shop?,,,,,,,,,
end_group,onion,,,,,,,,,,
begin_group,onion_price_information,Onion price information,,,,"selected(${sell_onion},'yes')",,,,,
select_one yes_no,care_quantity_1kg_onion,7.2 Are you collecting the price for 1 Kg? ,TRUE,,,,,,,,
integer,care_quantity_other_onion,"7.3 If no, what quantity is this product sold in ? (in Kg)",TRUE,,,"selected(${quantity_1kg_onion},""no"")",,Value must be greater than 0,,.>0,
integer,care_price_onion,7.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
calculate,calc_onion,,,,,,,,,,"round(if((selected(${quantity_1kg_onion},'yes')), (${price_onion} div 1), ${price_onion}),0)"
calculate,calc_price_onion,,,,,,,,,,"round(if((selected(${quantity_1kg_onion},'no')), (${price_onion} div ${quantity_other_onion}), ${price_onion}),0)"
note,price_onion_normalised,The price of one kilogram of onion is: ${calc_price_onion} YER,,,,"selected(${quantity_1kg_onion},""no"")",,,,,
note,price_onion_display,The price of one kilogram of onion is: ${calc_onion} YER,,,,"selected(${quantity_1kg_onion},""yes"")",,,,,
end_group,foodcare_onion_information,,,,,,,,,,
begin_group,potato,Potato,,,,"selected(${foodcare_info},'yes')",,,,,
select_one yes_no,care_sell_potato,8.1 Do the vendor KI currently sell potato in his shop?,,,,,,,,,
end_group,potato,,,,,,,,,,
begin_group,potato_price_information,Potato price information,,,,"selected(${sell_potato},'yes')",,,,,
select_one yes_no,care_quantity_1kg_potato,8.2 Are you collecting the price for 1 Kg? ,TRUE,,,,,,,,
integer,care_quantity_other_potato,"8.3 If no, what quantity is this product sold in ? (in Kg)",TRUE,,,"selected(${quantity_1kg_potato},""no"")",,Value must be greater than 0,,.>0,
integer,care_price_potato,8.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
calculate,calc_potato,,,,,,,,,,"round(if((selected(${quantity_1kg_potato},'yes')), (${price_potato} div 1), ${price_potato}),0)"
calculate,calc_price_potato,,,,,,,,,,"round(if((selected(${quantity_1kg_potato},'no')), (${price_potato} div ${quantity_other_potato}), ${price_potato}),0)"
note,price_potato_normalised,The price of one kilogram of potato is: ${calc_price_potato} YER,,,,"selected(${quantity_1kg_potato},""no"")",,,,,
note,price_potato_display,The price of one kilogram of potato is: ${calc_potato} YER,,,,"selected(${quantity_1kg_potato},""yes"")",,,,,
end_group,foodcare_potato_information,,,,,,,,,,
begin_group,salt,Salt,,,,"selected(${foodcare_info},'yes')",,,,,
select_one yes_no,care_sell_salt,9.1 Do the vendor KI currently sell salt in his shop?,,,,,,,,,
end_group,salt,,,,,,,,,,
begin_group,salt_price_information,salt price information,,,,"selected(${sell_salt},'yes')",,,,,
select_one yes_no,care_quantity_1kg_salt,9.2 Are you collecting the price for 1 Kg? ,TRUE,,,,,,,,
integer,care_quantity_other_salt,"9.3 If no, what quantity is this product sold in ? (in Kg)",TRUE,,,"selected(${quantity_1kg_salt},""no"")",,Value must be greater than 0,,.>0,
integer,care_price_salt,9.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
calculate,calc_salt,,,,,,,,,,"round(if((selected(${quantity_1kg_salt},'yes')), (${price_salt} div 1), ${price_salt}),0)"
calculate,calc_price_salt,,,,,,,,,,"round(if((selected(${quantity_1kg_salt},'no')), (${price_salt} div ${quantity_other_salt}), ${price_salt}),0)"
note,price_salt_normalised,The price of one kilogram of salt is: ${calc_price_salt} YER,,,,"selected(${quantity_1kg_salt},""no"")",,,,,
note,price_salt_display,The price of one kilogram of salt is: ${calc_salt} YER,,,,"selected(${quantity_1kg_salt},""yes"")",,,,,
end_group,foodcare_salt_information,,,,,,,,,,
end_group,care_foodcare,,,,,,,,,,
begin_group,nficare,Non food items information,TRUE,,,"${pass_CARE}=""CAREtest"" ",,,,,
select_one yes_no,care_nficare_info,Are you collecting NFI information?,TRUE,,,,,,,,
select_multiple cash,care_cash_feasibility_nficare,Which forms of payment does this vendor currently accept? (tick all that apply),TRUE,,,"selected(${nficare_info},'yes')",,"Cannot select ""Do Not Know"" and additional options - Invalid Response",,"not(selected(.,'Do_not_know') and count-selected(.)>1)",
text,care_other_cash_feasibility_nficare,Please specify other:,TRUE,,,"selected(${cash_feasibility_nficare},""Other"")",,,,,
begin_group,cooking_cooking_gas,Cooking gas,,,,"selected(${nficare_info},'yes')",,,,,
select_one yes_no,care_sell_cooking_gas,2.1 Do the vendor KI currently sell cooking gas in his shop?,,,,,,,,,
end_group,cooking_cooking_gas,,,,,,,,,,
begin_group,gas_information,cooking gas price information,,,,"selected(${sell_cooking_gas},'yes')",,,,,
select_one yes_no,care_quantity_1cylinder_cooking_gas,2.2 Are you collecting the price for 1 cylinder? ,TRUE,,,,,,,,
integer,care_quantity_other_cooking_gas,"2.3 If no, what quantity is this product sold in ? (in cylinders)",TRUE,,,"selected(${quantity_1cylinder_cooking_gas},""no"")",,Value must be greater than 0,,.>0,
integer,care_price_cooking_gas,2.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
note,price_cooking_gas_normalised,The price of one cylinder of gas is: ${price_cooking_gas} YER,,,,"selected(${quantity_1cylinder_cooking_gas},""no"")",,,,,
note,price_cooking_gas_display,The price of one cylinder of gas is: ${price_cooking_gas} YER,,,,"selected(${quantity_1cylinder_cooking_gas},""yes"")",,,,,
end_group,gas_information,,,,,,,,,,
begin_group,blades,Broom blades,,,,"selected(${nficare_info},'yes')",,,,,
select_one yes_no,care_sell_blades,3.1 Do the vendor KI currently sell broom blades in his shop?,,,,,,,,,
end_group,blades,,,,,,,,,,
begin_group,blades_information,broom blades price information,,,,"selected(${sell_blades},'yes')",,,,,
select_one yes_no,care_quantity_1piece_blades,3.2 Are you collecting the price for 1 piece? ,TRUE,,,,,,,,
integer,care_quantity_other_blades,"3.3 If no, what quantity is this product sold in ? (in pieces)",TRUE,,,"selected(${quantity_1piece_blades},""no"")",,Value must be greater than 0,,.>0,
integer,care_price_blades,3.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
note,price_blades_normalised,The price of one piece of blades is: ${price_blades} YER,,,,"selected(${quantity_1piece_blades},""no"")",,,,,
note,price_blades_display,The price of one piece of blades is: ${price_blades} YER,,,,"selected(${quantity_1piece_blades},""yes"")",,,,,
end_group,blades_information,,,,,,,,,,
begin_group,long,Long hard broom with bristle,,,,"selected(${nficare_info},'yes')",,,,,
select_one yes_no,care_sell_long,6.1 Do the vendor KI currently sell long hard brooms in his shop?,,,,,,,,,
end_group,long,,,,,,,,,,
begin_group,long_information,Long hard broom price information,,,,"selected(${sell_long},'yes')",,,,,
select_one yes_no,care_quantity_1piece_long,6.2 Are you collecting the price for 1 piece? ,TRUE,,,,,,,,
integer,care_quantity_other_long,"6.3 If no, what quantity is this product sold in ? (in liters)",TRUE,,,"selected(${quantity_1piece_long},""no"")",,Value must be greater than 0,,.>0,
integer,care_price_long,6.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
note,price_long_normalised,The price of one piece of long is: ${price_long} YER,,,,"selected(${quantity_1piece_long},""no"")",,,,,
note,price_long_display,The price of one piece of long is: ${price_long} YER,,,,"selected(${quantity_1piece_long},""yes"")",,,,,
end_group,long_information,,,,,,,,,,
begin_group,short,short hand broom for toilet,,,,"selected(${nficare_info},'yes')",,,,,
select_one yes_no,care_sell_short,5.1 Do the vendor KI currently sell short hand brooms for toilet in his shop?,,,,,,,,,
end_group,short,,,,,,,,,,
begin_group,short_information,Short hand broom price information,,,,"selected(${sell_short},'yes')",,,,,
select_one yes_no,care_quantity_1piece_short,5.2 Are you collecting the price for 1 piece? ,TRUE,,,,,,,,
integer,care_quantity_other_short,"5.3 If no, what quantity is this product sold in ? (in liters)",TRUE,,,"selected(${quantity_1piece_short},""no"")",,Value must be greater than 0,,.>0,
integer,care_price_short,5.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
note,price_short_normalised,The price of one piece of short is: ${price_short} YER,,,,"selected(${quantity_1piece_short},""no"")",,,,,
note,price_short_display,The price of one piece of short is: ${price_short} YER,,,,"selected(${quantity_1piece_short},""yes"")",,,,,
end_group,short_information,,,,,,,,,,
begin_group,container,Covered water containers,,,,"selected(${nficare_info},'yes')",,,,,
select_one yes_no,care_sell_container,6.1 Do the vendor KI currently sell covered water container in his shop?,,,,,,,,,
end_group,container,,,,,,,,,,
begin_group,container_information,Covered water container price information,,,,"selected(${sell_container},'yes')",,,,,
select_one yes_no,care_quantity_1piece_container,6.2 Are you collecting the price for one 30 liter container? ,TRUE,,,,,,,,
integer,care_quantity_other_container,"6.3 If no, what quantity is this product sold in ? (in liters)",TRUE,,,"selected(${quantity_1piece_container},""no"")",,Value must be greater than 0,,.>0,
integer,care_price_container,6.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
note,price_container_normalised,The price of one container is: ${price_container} YER,,,,"selected(${quantity_1piece_container},""no"")",,,,,
note,price_container_display,The price of one container is: ${price_container} YER,,,,"selected(${quantity_1piece_container},""yes"")",,,,,
end_group,container_information,,,,,,,,,,
begin_group,basin,Plastic washing basins,,,,"selected(${nficare_info},'yes')",,,,,
select_one yes_no,care_sell_basin,7.1 Do the vendor KI currently sell plastic washing basins in his shop?,,,,,,,,,
end_group,basin,,,,,,,,,,
begin_group,basin_information,Plastic washing basin price information,,,,"selected(${sell_basin},'yes')",,,,,
select_one yes_no,care_quantity_1piece_basin,7.2 Are you collecting the price for one 15 liter basin? ,TRUE,,,,,,,,
integer,care_quantity_other_basin,"7.3 If no, what quantity is this product sold in ? (in liters)",TRUE,,,"selected(${quantity_1piece_basin},""no"")",,Value must be greater than 0,,.>0,
integer,care_price_basin,7.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
note,price_basin_normalised,The price of one basin is: ${price_basin} YER,,,,"selected(${quantity_1piece_basin},""no"")",,,,,
note,price_basin_display,The price of one basin is: ${price_basin} YER,,,,"selected(${quantity_1piece_basin},""yes"")",,,,,
end_group,basin_information,,,,,,,,,,
begin_group,jerry,Jerry cans,,,,"selected(${nficare_info},'yes')",,,,,
select_one yes_no,care_sell_jerry,8.1 Do the vendor KI currently sell  Jerrys in his shop?,,,,,,,,,
end_group,jerry,,,,,,,,,,
begin_group,jerry_information,Jerry can price information,,,,"selected(${sell_Jerry},'yes')",,,,,
select_one yes_no,care_quantity_1piece_jerry,8.2 Are you collecting the price for one 20 liter Jerry? ,TRUE,,,,,,,,
integer,care_quantity_other_jerry,"8.3 If no, what quantity is this product sold in ? (in liters)",TRUE,,,"selected(${quantity_1piece_Jerry},""no"")",,Value must be greater than 0,,.>0,
integer,care_price_jerry,8.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
note,price_jerry_normalised,The price of one Jerry cans is: ${price_Jerry} YER,,,,"selected(${quantity_1piece_Jerry},""no"")",,,,,
note,price_jerry_display,The price of one Jerry cans is: ${price_Jerry} YER,,,,"selected(${quantity_1piece_Jerry},""yes"")",,,,,
end_group,jerry_information,,,,,,,,,,
begin_group,jug,Plastic jugs,,,,"selected(${nficare_info},'yes')",,,,,
select_one yes_no,care_sell_jug,9.1 Do the vendor KI currently sell plastic jugs in his shop?,,,,,,,,,
end_group,jug,,,,,,,,,,
begin_group,jug_information,Plastic jugs price information,,,,"selected(${sell_jug},'yes')",,,,,
select_one yes_no,care_quantity_1piece_jug,9.2 Are you collecting the price for one 20 liter jug? ,TRUE,,,,,,,,
integer,care_quantity_other_jug,"9.3 If no, what quantity is this product sold in ? (in liters)",TRUE,,,"selected(${quantity_1piece_jug},""no"")",,Value must be greater than 0,,.>0,
integer,care_price_jug,9.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
note,price_jug_normalised,The price of one jug s is: ${price_jug} YER,,,,"selected(${quantity_1piece_jug},""no"")",,,,,
note,price_jug_display,The price of one jug s is: ${price_jug} YER,,,,"selected(${quantity_1piece_jug},""yes"")",,,,,
end_group,jug_information,,,,,,,,,,
begin_group,supply_information,NFI Items Supply Information,,,,"selected(${nficare_info},'yes')",,,,,
text,care_supplier_location,10.1 In what governorate is the main non food items supplier of this product located?,,,,,,,,,
text,care_supplying_time,10.2 How long would it take to restock these products?,,,,,,,,,
select_multiple challenges,care_nficare_constraints_multiple,10.3 What are the largest constraints faced by the vendor,TRUE,,,,,"Cannot select ""Do Not Know"" or "" No Constraints"" or ""Vendor Did Not Answers"" and additional options - Invalid Response",,"not((selected(.,'Do_not_know') or selected(.,'No_constraints') or selected(.,'Vendor_did_not_answer')) and count-selected(.)>1)",
end_group,nficare_supply_information,,,,,,,,,,
end_group,nficare,,,,,,,,,,
begin_group,fuel,Fuel Prices,,,,,,,,,
select_one yes_no,all_fuel_prices,Are you collecting fuel prices?,TRUE,,,,,,,,
select_multiple cash,all_cash_feasibility_fuel,Which forms of payment does this vendor currently accept? (tick all that apply),TRUE,,,"selected(${fuel_prices},'yes')",,"Cannot select ""Do Not Know"" and additional options - Invalid Response",,"not(selected(.,'Do_not_know') and count-selected(.)>1)",
text,all_other_cash_feasibility_fuel,Please specify other:,TRUE,,,"selected(${cash_feasibility_fuel},""Other"")",,,,,
begin_group,petrol,Petrol,,,,"selected(${fuel_prices},'yes')",,,,,
select_one yes_no,all_sell_petrol,1.1 Do the vendor KI currently sell Petrol in his shop?,TRUE,,,,,,,,
end_group,petrol,,,,,,,,,,
begin_group,petrol_price_information,Petrol Price Information,,,,"selected(${sell_petrol},'yes')",,,,,
select_one yes_no,all_quantity_1l_petrol,1.2 Are you collecting the price for 1 litre ?,TRUE,,,,,,,,
integer,all_quantity_other_petrol,"1.2.1 If no, what quantity is this product sold in ? (in litres)",TRUE,,,"selected(${quantity_1L_petrol},""no"")",,Value must be greater than 0,,.>0,
integer,all_price_petrol,1.3 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
calculate,calc_price_petrol,,,,,,,,,,"round(if((selected(${quantity_1L_petrol},'no')), (${price_petrol} div ${quantity_other_petrol}), ${price_petrol}),0)"
note,price_petrol_normalised,The price of 1 litre of petrol is: ${calc_price_petrol} YER,,,,"selected(${quantity_1L_petrol},""no"")",,,,,
note,price_petrol_display,The price of 1 litre of petrol is: ${price_petrol} YER,,,,"selected(${quantity_1L_petrol},""yes"")",,,,,
end_group,petrol_price_information,,,,,,,,,,
begin_group,diesel,Diesel,,,,"selected(${fuel_prices},'yes')",,,,,
select_one yes_no,all_sell_diesel,2.1 Do you currently sell Diesel in your shop?,TRUE,,,,,,,,
end_group,diesel,,,,,,,,,,
begin_group,diesel_price_information,Diesel Price Information,,,,"selected(${sell_diesel},'yes')",,,,,
select_one yes_no,all_quantity_1l_diesel,2.2 Are you collecting the price for 1 litre ?,TRUE,,,,,,,,
integer,all_quantity_other_diesel,"2.2.1 If no, what quantity is this product sold in ? (in litres)",TRUE,,,"selected(${quantity_1L_diesel},""no"")",,Value must be greater than 0,,.>0,
integer,all_price_diesel,2.3 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
calculate,calc_price_diesel,,,,,,,,,,"round(if((selected(${quantity_1L_diesel},'no')), (${price_diesel} div ${quantity_other_diesel}), ${price_diesel}),0)"
note,price_diesel_normalised,The price of one litre of diesel is: ${calc_price_diesel} YER,,,,"selected(${quantity_1L_diesel},""no"")",,,,,
note,price_diesel_display,The price of one litre of diesel is: ${price_diesel} YER,,,,"selected(${quantity_1L_diesel},""yes"")",,,,,
end_group,diesel_price_information,,,,,,,,,,
begin_group,fuel_supply_information,Supply Information for fuel,,,,"selected(${fuel_prices},'yes')",,,,,
select_one governorate2,all_fuel_gov_origin,"Currently, from which governorate is the majority of fuel being transported from?",TRUE,,,,,,,,
integer,all_fuel_restock_days_min,"Last time you restocked this product, how many days did it take for you to receive the goods after placing an order with your supplier?",TRUE,,,"not(selected(${fuel_gov_origin},'Vendor_did_not_answer') or selected(${fuel_gov_origin},'Do_not_know'))",,The maximum value allowed is 30 days,,.>0 and .<=30,
select_multiple challenges,all_fuel_constraints_multiple,What are the largest constraints faced by the vendor,TRUE,,,,,"Cannot select ""Do Not Know"" or "" No Constraints"" or ""Vendor Did Not Answers"" and additional options - Invalid Response",,"not((selected(.,'Do_not_know') or selected(.,'No_constraints') or selected(.,'Vendor_did_not_answer')) and count-selected(.)>1)",
text,all_fuel_constraints_other,Please specify other:,TRUE,,,"selected(${fuel_constraints_multiple},""Other_see_next_question"")",,,,,
end_group,fuel_supply_information,,,,,,,,,,
end_group,fuel,,,,,,,,,,
begin_group,si,,,,,"selected(${select_one_organisation_name},'SI')",,,,,
text,si_pass_si,Please Enter the Password:,TRUE,,,"selected(${select_one_organisation_name},'SI')",,,,,
note,password_incorrect,Password incorrect,TRUE,,,"${pass_SI} !=""SItest""",,,,"not(.=${pass_SI}=""SItest"")",
end_group,si,,,,,,,,,,
begin_group,cooking_information,Cooking/ heating fuel prices information,TRUE,,,"${pass_SI} =""SItest""",,,,,
select_one yes_no,si_cooking_info,1.1 Are you collecting Cooking/ heating fuel prices ?,TRUE,,,,,,,,
select_multiple cash,si_cash_feasibility_cooking,Which forms of payment does this vendor currently accept? (tick all that apply),TRUE,,,"selected(${cooking_info},'yes')",,"Cannot select ""Do Not Know"" and additional options - Invalid Response",,"not(selected(.,'Do_not_know') and count-selected(.)>1)",
text,si_other_cash_feasibility,Please specify other:,TRUE,,,"selected(${cash_feasibility_cooking},""Other"")",,,,,
begin_group,firewood,Firewood,,,,"selected(${cooking_info},'yes')",,,,,
select_one yes_no,si_sell_firewood,2.1 Do the vendor KI currently sell firewood in his shop?,,,,,,,,,
end_group,firewood,,,,,,,,,,
begin_group,firewood_price_information,firewood price information,,,,"selected(${sell_firewood},'yes')",,,,,
select_one yes_no,si_quantity_1pile_firewood,2.2 Are you collecting the price for 5 liters? ,TRUE,,,,,,,,
integer,si_quantity_other_firewood,"2.3 If no, what quantity is this product sold in ? (in liters)",TRUE,,,"selected(${quantity_1pile_firewood},""no"")",,Value must be greater than 0,,.>0,
integer,si_price_firewood,2.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
